,Trend Component,,DATE,PINTI17Q1,,,,,,,,
3,9.1625,,1947:Q3,9.2,,,,,,,,
4,9.3375,,1947:Q4,9.3,,,,,,,,
5,9.5,,1948:Q1,9.5,,,,,,,,
6,9.6625,,1948:Q2,9.7,,,,,,,,
7,9.85,,1948:Q3,9.8,,,,,,,,
8,10.05,,1948:Q4,10,,,,,,,,
9,10.275,,1949:Q1,10.3,,,,,,,,
10,10.5375,,1949:Q2,10.5,,,,,,,,
11,10.8125,,1949:Q3,10.8,,,,,,,,
12,11.1,,1949:Q4,11.1,,,,,,,,
13,11.4,,1950:Q1,11.4,,,,,,,,
14,11.6875,,1950:Q2,11.7,,,,,,,,
15,11.9625,,1950:Q3,12,,,,,,,,
16,12.225,,1950:Q4,12.2,,,,,,,,
17,12.475,,1951:Q1,12.5,,,,,,,,
18,12.725,,1951:Q2,12.7,,,,,,,,
19,12.9625,,1951:Q3,13,,,,,,,,
20,13.2,,1951:Q4,13.2,,,,,,,,
21,13.4625,,1952:Q1,13.4,,,,,,,,
22,13.7625,,1952:Q2,13.7,,,,,,,,
23,14.125,,1952:Q3,14.1,,,,,,,,
24,14.55,,1952:Q4,14.5,,,,,,,,
25,15,,1953:Q1,15,,,,,,,,
26,15.45,,1953:Q2,15.5,,,,,,,,
27,15.8875,,1953:Q3,15.9,,,,,,,,
28,16.3,,1953:Q4,16.3,,,,,,,,
29,16.7,,1954:Q1,16.7,,,,,,,,
30,17.1,,1954:Q2,17.1,,,,,,,,
31,17.4875,,1954:Q3,17.5,,,,,,,,
32,17.875,,1954:Q4,17.9,,,,,,,,
33,18.275,,1955:Q1,18.2,,,,,,,,
34,18.6875,,1955:Q2,18.7,,,,,,,,
35,19.15,,1955:Q3,19.1,,,,,,,,
36,19.6625,,1955:Q4,19.6,,,,,,,,
37,20.225,,1956:Q1,20.2,,,,,,,,
38,20.85,,1956:Q2,20.8,,,,,,,,
39,21.5125,,1956:Q3,21.5,,,,,,,,
40,22.2,,1956:Q4,22.2,,,,,,,,
41,22.875,,1957:Q1,22.9,,,,,,,,
42,23.5,,1957:Q2,23.6,,,,,,,,
43,24.0625,,1957:Q3,24.1,,,,,,,,
44,24.5625,,1957:Q4,24.6,,,,,,,,
45,25.0375,,1958:Q1,25,,,,,,,,
46,25.5125,,1958:Q2,25.5,,,,,,,,
47,25.9625,,1958:Q3,26,,,,,,,,
48,26.425,,1958:Q4,26.5,,,,,,,,
49,26.975,,1959:Q1,26.7,,,,,,,,
50,27.65,,1959:Q2,27.5,,,,,,,,
51,28.5,,1959:Q3,28.4,,,,,,,,
52,29.375,,1959:Q4,29.5,,,,,,,,
53,30.1125,,1960:Q1,30.5,,,,,,,,
54,30.7125,,1960:Q2,30.7,,,,,,,,
55,31.1625,,1960:Q3,31.1,,,,,,,,
56,31.6125,,1960:Q4,31.6,,,,,,,,
57,32.1875,,1961:Q1,32,,,,,,,,
58,32.875,,1961:Q2,32.8,,,,,,,,
59,33.6,,1961:Q3,33.6,,,,,,,,
60,34.3625,,1961:Q4,34.6,,,,,,,,
61,35.2375,,1962:Q1,34.8,,,,,,,,
62,36.15,,1962:Q2,36.1,,,,,,,,
63,37.0375,,1962:Q3,37.3,,,,,,,,
64,37.85,,1962:Q4,38.2,,,,,,,,
65,38.5875,,1963:Q1,38.3,,,,,,,,
66,39.3625,,1963:Q2,39.1,,,,,,,,
